papel,chamadas,chamadas_por_dia,ms_medio,consulta
service_role,2743538,11918,0.0,"select set_config('search_path', $1, true), set_config('role', $2, true), set_config('request.jwt.claims', $3, true), set_config('request.method', $4, true), set_config('request.path', $5, true), set_config('request.headers', $6, true), set_config('request.cookies', $7, true)"
service_role,1141139,4957,0.1,"WITH pgrst_source AS ( SELECT ""public"".""whatsapp_jobs"".* FROM ""public"".""whatsapp_jobs"" WHERE ""public"".""whatsapp_jobs"".""status"" = $1 ORDER BY ""public"".""whatsapp_jobs"".""created_at"" ASC LIMIT $2 OFFSET $3 ) SELECT $4::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $5) AS body, nullif(current_setting($6, $7), $8) AS response_headers, nullif(c"
service_role,1084610,4711,0.0,"WITH pgrst_source AS ( SELECT ""public"".""whatsapp_jobs"".""id"", ""public"".""whatsapp_jobs"".""attempts"", ""public"".""whatsapp_jobs"".""log_id"" FROM ""public"".""whatsapp_jobs"" WHERE ""public"".""whatsapp_jobs"".""status"" = $1 AND ""public"".""whatsapp_jobs"".""started_at"" < $2 LIMIT $3 OFFSET $4 ) SELECT $5::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $6) AS "
authenticated,533237,2316,0.4,"select set_config('search_path', $1, true), set_config($2, $3, true), set_config('role', $4, true), set_config('request.jwt.claims', $5, true), set_config('request.method', $6, true), set_config('request.path', $7, true), set_config('request.headers', $8, true), set_config('request.cookies', $9, true)"
authenticator,348575,1514,0.0,SET client_encoding = 'UTF8'
authenticator,348575,1514,0.0,SET client_min_messages TO WARNING
authenticator,345611,1501,0.0,BEGIN ISOLATION LEVEL READ COMMITTED READ ONLY
authenticated,334822,1454,0.8,"WITH pgrst_source AS ( SELECT ""public"".""app_notifications"".* FROM ""public"".""app_notifications"" WHERE ""public"".""app_notifications"".""read"" = $1 ORDER BY ""public"".""app_notifications"".""created_at"" ASC LIMIT $2 OFFSET $3 ) SELECT $4::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $5) AS body, nullif(current_setting($6, $7), $8) AS response_hea"
authenticated,307072,1334,0.0,COMMIT
anon,116875,508,0.5,"select set_config('search_path', $1, true), set_config($2, $3, true), set_config('role', $4, true), set_config('request.jwt.claims', $5, true), set_config('request.method', $6, true), set_config('request.path', $7, true), set_config('request.headers', $8, true), set_config('request.cookies', $9, true)"
service_role,74112,322,0.3,"WITH pgrst_source AS ( SELECT ""public"".""whatsapp_control"".* FROM ""public"".""whatsapp_control"" WHERE ""public"".""whatsapp_control"".""id"" = $1 LIMIT $2 OFFSET $3 ) SELECT $4::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $5) AS body, nullif(current_setting($6, $7), $8) AS response_headers, nullif(current_setting($9, $10), $11) AS response_stat"
service_role,74109,322,0.5,"WITH pgrst_source AS ( SELECT ""public"".""whatsapp_jobs"".""id"", ""public"".""whatsapp_jobs"".""result"" FROM ""public"".""whatsapp_jobs"" WHERE ""public"".""whatsapp_jobs"".""status"" = $1 AND ""public"".""whatsapp_jobs"".""finished_at"" >= $2 LIMIT $3 OFFSET $4 ) SELECT $5::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $6) AS body, nullif(current_setting($7, $8"
service_role,68372,297,0.7,"WITH pgrst_source AS (UPDATE ""public"".""processos"" SET ""suite_data_chegada"" = ""pgrst_body"".""suite_data_chegada"" FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""suite_data_chegada"" FROM json_to_record(pgrst_payload.json_data) AS _(""suite_data_chegada"" timestamp with time zone) ) pgrst_body WHERE ""public"".""processos"".""id"" = $2 RETURNING $3) SELECT $4 AS total_result_set, pg_catalog.coun"
service_role,56519,246,0.1,"WITH pgrst_source AS (UPDATE ""public"".""whatsapp_jobs"" SET ""status"" = ""pgrst_body"".""status"" FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""status"" FROM json_to_record(pgrst_payload.json_data) AS _(""status"" text) ) pgrst_body WHERE ""public"".""whatsapp_jobs"".""status"" = $2 AND ""public"".""whatsapp_jobs"".""started_at"" < $3 RETURNING ""public"".""whatsapp_jobs"".""id"") SELECT $4 AS total_result_se"
service_role,46830,203,0.2,"WITH pgrst_source AS ( SELECT ""public"".""whatsapp_control"".""degraded_since"" FROM ""public"".""whatsapp_control"" WHERE ""public"".""whatsapp_control"".""id"" = $1 LIMIT $2 OFFSET $3 ) SELECT $4::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $5) AS body, nullif(current_setting($6, $7), $8) AS response_headers, nullif(current_setting($9, $10), $11) A"
service_role,38904,169,0.8,"WITH pgrst_source AS (UPDATE ""public"".""seinfra_itens"" SET ""composicao"" = ""pgrst_body"".""composicao"" FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""composicao"" FROM json_to_record(pgrst_payload.json_data) AS _(""composicao"" jsonb) ) pgrst_body WHERE ""public"".""seinfra_itens"".""codigo"" = $2 AND ""public"".""seinfra_itens"".""tipo_encargo"" = $3 AND ""public"".""seinfra_itens"".""referencia"" = $4 RET"
anon,37251,162,0.0,COMMIT
