tabela,linhas,varreduras,tuplas_lidas_varredura,leituras_completas_equiv,buscas_indice
composicoes_biblioteca,2893,37818,77144513,26666,17555
app_users,91,5269776,73607925,808878,575322
app_atividades,1549,34554,25014990,16149,4597
sinapi_composicao,55928,296,13855622,248,7421227
app_notifications,81,313471,10913367,134733,36248
comissao_fiscalizacao,671,2206,8665802,12915,25154
processos,409,21502,7695802,18816,264857
stg_sinapi,0,551,5849340,null,430451
contratos_edificacao,358,2996,4204688,11745,63413
whatsapp_jobs,96,99306,3227301,33618,2258212
whatsapp_logs,78,42022,3004164,38515,444
sinapi_preco,271967,22084,2646208,10,30874067
sinapi_item,13604,199,2275855,167,15712753
stg_orse,0,296,1938431,null,803877
seinfra_item,16467,140,1317417,80,1773438
orse_item,19598,71,1206274,62,1646787
orse_preco,175996,40,1089060,6,12474826
sinapi_item_presenca,13694,86,952074,70,445267
historico_suite_eventos,29217,47,947339,32,64827
seinfra_composicao,48638,14,483056,10,1191752
orse_item_presenca,19598,25,460368,23,333970
medicoes,2972,164,341704,115,28193
sinapi_descricao,16308,11051,305109,19,2918195
orse_descricao,19666,17,245240,12,1532903
seinfra_preco,57825,7,231300,4,3611545
seinfra_item_presenca,16467,16,181137,11,79902
stg_seinfra,0,35,175532,null,12989
seinfra_descricao,16694,15,166940,10,420198
orcamentos_biblioteca,26,10063,131251,5048,601
aditivos_contrato,604,224,124495,206,4245
