tabela,rls_ativa,anon_pode_ler
orse_itens,false,true
seinfra_itens,false,true
sinapi_itens,false,true
vw_assistente_obra_completa,false,true
vw_assistente_processo_completo,false,true
vw_gecope_revisao_anual,false,false
vw_gecope_revisao_consolidado,false,false
vw_gecope_revisao_detalhe,false,false
vw_painel_desempenho_fiscais,false,true
vw_painel_desempenho_replanilhamentos,false,true
vw_processos_financeiro,false,true
vw_tempo_fiscal_processo,false,true
aditivo_tipos,true,true
aditivos_contrato,true,true
alerta_retorno_comentarios,true,true
app_atividades,true,true
app_audit,true,false
app_notifications,true,true
app_users,true,true
autorizacoes_especiais,true,true
checklist_documentacao_aditivo,true,true
comissao_fiscalizacao,true,true
composicoes_biblioteca,true,true
config_whatsapp,true,true
consultas_ia_log,true,false
contratos_edificacao,true,true
cronograma_analistas,true,true
cronograma_rotinas,true,true
cronograma_tarefas,true,true
curva_abc_itens,true,true
curva_abc_versoes,true,true
distrito_operacional,true,false
ficha_contrato,true,true
historico_atribuicao_fiscal,true,true
historico_metas,true,true
historico_suite_eventos,true,false
indices_economicos_cache,true,true
medicoes,true,true
orcamentos_biblioteca,true,true
orse_descricao,true,true
orse_item,true,true
orse_item_presenca,true,true
orse_preco,true,true
pessoas_fiscalizacao,true,true
processo_historico_status,true,true
processos,true,true
referencia_carregada,true,true
seinfra_composicao,true,true
seinfra_descricao,true,true
seinfra_item,true,true
seinfra_item_presenca,true,true
seinfra_preco,true,true
sinapi_composicao,true,true
sinapi_descricao,true,true
sinapi_item,true,true
sinapi_item_presenca,true,true
sinapi_preco,true,true
stg_orse,true,false
stg_seinfra,true,false
stg_sinapi,true,false
suite_unidades_fiscal,true,true
suite_unidades_lotacao,true,true
tb_composicoes,true,false
tb_composicoes_itens,true,false
whatsapp_control,true,true
whatsapp_jobs,true,true
whatsapp_logs,true,true
