tabela,linhas_aprox,bytes_medio_linha,mb_select_estrela
sinapi_preco,271967,55,14.27
historico_suite_eventos,27165,433,11.22
orse_preco,175996,51,8.56
seinfra_composicao,48638,78,3.62
sinapi_composicao,52165,59,2.94
seinfra_preco,57825,53,2.92
composicoes_biblioteca,2893,1054,2.91
sinapi_descricao,15756,168,2.52
orse_descricao,19568,125,2.33
orse_item,19475,122,2.27
sinapi_item,13469,162,2.08
seinfra_descricao,16694,95,1.51
seinfra_item,16467,91,1.43
orse_item_presenca,19598,40,0.75
curva_abc_itens,3253,224,0.69
seinfra_item_presenca,16467,40,0.63
sinapi_item_presenca,13694,40,0.52
medicoes,2972,178,0.50
app_atividades,1467,261,0.37
processos,409,460,0.18
historico_atribuicao_fiscal,419,430,0.17
contratos_edificacao,358,473,0.16
aditivos_contrato,604,195,0.11
ficha_contrato,251,477,0.11
comissao_fiscalizacao,673,133,0.09
whatsapp_jobs,89,706,0.06
cronograma_tarefas,52,847,0.04
orcamentos_biblioteca,26,1428,0.04
whatsapp_logs,73,469,0.03
app_users,91,190,0.02
